file_size,num_lines,avg_line_len,max_line_len,entropy,special_char_ratio,digit_ratio,uppercase_ratio,space_ratio,hex_escape_count,unicode_escape_count,base64_count,long_string_count,eval_count,unescape_count,atob_count,function_constructor,settimeout_count,setinterval_count,document_write,num_identifiers,avg_identifier_len,avg_identifier_entropy,array_access_count,hex_array_index,num_functions,num_var_decl,num_semicolons,num_commas,bracket_ratio,square_bracket_ratio
5979,166,36.01807228915663,79,4.820557880837456,0.13179461448402743,0.016892456932597423,0.05385515972570664,0.18096671684228133,0,0,0,1,0,0,0,0,0,0,0,586,6.890784982935154,2.3697861506989257,0,0,6,0,83,104,0.02977086469309249,0.002007024586051179
1336,47,28.425531914893618,79,4.874634582401907,0.17290419161676646,0.02245508982035928,0.033682634730538924,0.16841317365269462,0,0,0,0,0,0,0,0,0,1,0,138,6.246376811594203,2.3711324302067673,0,0,1,0,29,23,0.04491017964071856,0.0014970059880239522
1910,62,30.806451612903224,77,4.809330883086691,0.16020942408376965,0.028272251308900525,0.033507853403141365,0.1905759162303665,0,0,0,1,0,0,0,0,3,0,0,194,6.22680412371134,2.444695758443974,0,0,3,0,38,37,0.040837696335078534,0.0020942408376963353
1356,55,24.654545454545456,77,4.849402778095049,0.15486725663716813,0.0029498525073746312,0.03466076696165192,0.13421828908554573,0,0,0,1,0,0,0,0,0,0,0,180,5.338888888888889,2.1632297941036276,0,0,4,0,21,12,0.045722713864306784,0.0
383,14,27.357142857142858,71,4.704062605820947,0.14360313315926893,0.013054830287206266,0.018276762402088774,0.14360313315926893,0,0,0,0,0,0,0,0,0,0,0,48,5.583333333333333,2.181560674100823,0,0,1,0,7,2,0.04177545691906005,0.0
1510,38,39.73684210526316,76,5.232093156320113,0.10397350993377484,0.001986754966887417,0.25695364238410595,0.16357615894039734,0,0,0,2,0,0,0,0,0,0,0,212,5.202830188679245,2.272271596380511,0,0,0,0,9,26,0.018543046357615896,0.0
4404,140,31.457142857142856,80,4.758955952460123,0.1432788374205268,0.015667574931880108,0.033151680290644865,0.2232061762034514,0,0,0,5,0,0,0,0,0,0,0,434,6.292626728110599,2.319572703302938,0,0,6,0,51,80,0.031335149863760216,0.0009082652134423251
2596,72,36.05555555555556,80,4.818197450668911,0.21841294298921418,0.00847457627118644,0.023882896764252697,0.211864406779661,0,0,0,1,0,0,0,0,0,0,0,277,5.303249097472924,2.1442134894156104,0,0,0,0,38,53,0.04314329738058552,0.0015408320493066256
1385,48,28.854166666666668,68,4.965641869366718,0.1711191335740072,0.005776173285198556,0.046209386281588445,0.11696750902527075,0,0,0,1,0,0,0,0,0,0,0,152,6.434210526315789,2.2485569129449057,0,0,0,0,28,19,0.047653429602888084,0.001444043321299639
1389,48,28.9375,68,4.966840485600158,0.17062634989200864,0.005759539236861051,0.04607631389488841,0.11663066954643629,0,0,0,1,0,0,0,0,0,0,0,152,6.4605263157894735,2.2500659080483665,0,0,0,0,28,19,0.047516198704103674,0.0014398848092152627
1555,56,27.767857142857142,79,4.960621910432797,0.1517684887459807,0.010289389067524116,0.047588424437299034,0.15691318327974277,0,0,0,1,0,0,0,0,0,0,0,170,6.235294117647059,2.3412524481763213,0,0,4,0,25,24,0.04501607717041801,0.0012861736334405145
1025,38,26.973684210526315,72,4.992165293971199,0.17365853658536584,0.007804878048780488,0.04,0.12975609756097561,0,0,0,0,0,0,0,0,0,0,0,108,6.546296296296297,2.3930117500959383,0,0,2,0,24,12,0.04878048780487805,0.001951219512195122
1866,58,32.172413793103445,72,4.551468973190399,0.15755627009646303,0.005894962486602358,0.010718113612004287,0.2266881028938907,0,0,0,2,0,0,0,0,0,0,0,222,5.126126126126126,2.19538862735071,0,0,0,0,30,22,0.028938906752411574,0.0021436227224008574
2183,66,33.07575757575758,73,4.8582830184632995,0.12368300503893724,0.013284470911589555,0.052679798442510306,0.2070545121392579,0,0,0,3,0,0,0,0,0,0,0,295,4.854237288135593,2.262365016664381,0,0,2,0,28,14,0.023820430600091615,0.0009161704076958314
949,29,32.724137931034484,79,5.072601136818068,0.18651211801896733,0.012644889357218124,0.045310853530031614,0.11169652265542676,0,0,0,1,0,0,0,0,0,0,0,112,5.928571428571429,2.427072598215096,0,0,0,0,19,18,0.04847207586933614,0.01053740779768177
967,29,33.3448275862069,79,5.058611589300195,0.1809720785935884,0.010341261633919338,0.04860392967942089,0.10754912099276112,0,0,0,1,0,0,0,0,0,0,0,110,6.236363636363636,2.4750139412796464,0,0,0,0,19,16,0.047569803516028956,0.010341261633919338
959,29,33.06896551724138,79,5.0788567299575575,0.17831074035453598,0.01251303441084463,0.049009384775808136,0.10844629822732013,0,0,0,1,0,0,0,0,0,0,0,110,6.2,2.453980913600346,0,0,0,0,19,16,0.047966631908237745,0.010427528675703858
936,43,21.767441860465116,74,4.9299853917093515,0.14957264957264957,0.018162393162393164,0.06623931623931624,0.20512820512820512,0,0,0,2,0,0,0,0,0,0,0,91,6.5054945054945055,2.3604392976823827,0,0,1,0,16,9,0.03632478632478633,0.0
850,40,21.25,74,4.932160986524888,0.1588235294117647,0.02,0.06588235294117648,0.21411764705882352,0,0,0,1,0,0,0,0,0,0,0,85,6.105882352941176,2.297945918565081,0,0,1,0,14,9,0.03764705882352941,0.0
990,44,22.5,74,4.910430696646704,0.1484848484848485,0.01717171717171717,0.06161616161616162,0.20202020202020202,0,0,0,2,0,0,0,0,0,0,0,99,6.373737373737374,2.3538207713151134,0,0,1,0,16,10,0.03434343434343434,0.0
690,25,27.6,71,5.07393522622295,0.2072463768115942,0.013043478260869565,0.043478260869565216,0.15942028985507245,0,0,0,0,0,0,0,0,0,0,0,76,5.657894736842105,2.260099608958391,0,0,0,0,12,10,0.043478260869565216,0.008695652173913044
2725,114,23.903508771929825,74,4.866780905426789,0.1559633027522936,0.006972477064220183,0.050642201834862385,0.17871559633027523,0,0,0,1,0,0,0,0,0,0,0,259,6.926640926640927,2.423112012870332,0,0,9,0,45,25,0.04844036697247706,0.0
2225,76,29.276315789473685,80,5.059498644576958,0.15146067415730338,0.015280898876404495,0.056179775280898875,0.16719101123595506,0,0,0,1,0,0,0,0,0,0,0,241,6.199170124481328,2.3209384665130623,0,1,3,0,34,44,0.03415730337078652,0.0017977528089887641
883,23,38.391304347826086,78,5.004741044323631,0.18912797281993204,0.01925254813137033,0.02944507361268403,0.17327293318233294,0,0,0,0,0,0,0,0,0,0,0,114,4.815789473684211,2.1937871614951345,0,0,0,0,10,9,0.03850509626274066,0.004530011325028313
8844,292,30.28767123287671,83,4.862852020260113,0.12720488466757124,0.0016960651289009499,0.07202623247399367,0.22003618272274988,0,0,2,6,0,0,0,0,0,0,0,659,8.763277693474961,2.5220065099658577,0,0,1,0,74,84,0.024423337856173677,0.0009045680687471732
566,22,25.727272727272727,77,4.747293158611624,0.11307420494699646,0.012367491166077738,0.04770318021201413,0.1872791519434629,0,0,0,0,0,0,0,0,0,0,0,78,5.0256410256410255,2.136982961399652,0,0,0,0,3,2,0.014134275618374558,0.0
23752,654,36.318042813455655,89,4.345943411920418,0.13295722465476592,0.006946783428763894,0.05043785786460087,0.38017851128326036,0,0,0,14,0,0,0,0,0,0,0,1904,5.970063025210084,2.321575746325046,0,0,1,0,24,125,0.005894240485011789,0.0005894240485011788
28797,1041,27.662824207492797,200,4.377672823429533,0.13338194950862936,0.012258221342500954,0.04160155571760947,0.37326804875507863,0,30,0,28,0,0,0,0,1,0,0,2334,5.981148243359041,2.3016908054279415,0,0,30,0,88,269,0.009862138417196235,0.000902871826926416
400,18,22.22222222222222,69,4.769519342375021,0.095,0.0,0.08,0.1625,0,0,0,0,0,0,0,0,0,0,0,44,6.75,2.387888550943538,0,0,0,0,4,1,0.015,0.0
38915,1356,28.698377581120944,180,4.789402774360695,0.12383399717332648,0.0010792753436978028,0.046357445715019915,0.2500064242579982,0,0,2,28,0,0,0,0,0,0,0,3691,6.613925765375237,2.382837744610928,0,0,18,0,146,376,0.011101117820891687,0.0010278812797121933
23486,868,27.057603686635943,86,4.529531690934045,0.13544239121178575,0.008175083028187004,0.03776718044792642,0.3382440602912373,0,0,0,13,0,0,0,0,0,0,0,1835,6.68283378746594,2.3658660421248627,0,0,21,0,100,192,0.014987652218342843,0.002469556331431491
30775,1158,26.575993091537132,410,4.475276195857369,0.13052802599512592,0.008383428107229895,0.03834281072298944,0.3452152721364744,0,0,0,27,0,0,0,0,0,0,0,2364,6.735194585448393,2.3793043293607106,0,0,29,0,126,292,0.01338748984565394,0.0012347684809098293
2324,94,24.72340425531915,68,4.820673690342203,0.10499139414802065,0.0,0.07874354561101549,0.20481927710843373,0,0,0,1,0,0,0,0,0,0,0,237,6.767932489451477,2.4782927489492828,0,0,6,0,16,14,0.021514629948364887,0.0
2232,71,31.43661971830986,94,4.7331885478976,0.13620071684587814,0.002688172043010753,0.05779569892473118,0.1971326164874552,0,0,0,2,0,0,0,0,0,0,0,205,7.263414634146342,2.4441982435789282,0,0,0,0,36,8,0.043010752688172046,0.0
4143,189,21.92063492063492,77,4.560322753979703,0.13082307506637703,0.007965242577842143,0.04779145546705286,0.314506396331161,0,0,0,4,0,0,0,0,0,0,0,329,6.9361702127659575,2.390844773191516,0,0,1,0,38,29,0.016895969104513638,0.003861935795317403
